movie_id,genres_id
385,9
386,1
386,7
386,13
386,8
386,2
387,0
387,7
387,2
387,10
388,0
388,1
388,3
388,4
389,7
389,10
389,3
390,1
390,7
390,11
391,7
391,13
391,2
391,10
392,0
392,7
392,8
392,2
393,0
393,1
393,3
393,4
394,0
394,1
394,2
394,17
394,3
395,16
395,13
395,14
395,11
395,4
396,0
396,11
396,3
396,4
397,7
397,13
398,0
398,1
398,4
399,0
399,1
399,4
400,1
400,13
400,3
400,4
401,7
402,0
403,1
403,6
403,7
403,8
404,1
404,6
404,7
404,13
404,8
404,2
404,3
405,7
405,8
405,2
406,0
406,13
406,10
406,3
406,4
407,0
407,7
407,16
407,4
408,7
408,16
408,15
409,1
409,6
409,7
409,8
409,2
409,20
410,7
411,0
411,1
411,7
412,7
412,13
412,10
413,11
413,4
414,7
414,13
414,10
415,1
415,6
415,7
415,8
415,3
416,0
416,16
416,3
416,4
417,7
417,8
417,2
417,10
418,16
418,13
418,4
419,7
419,10
420,0
420,1
420,16
420,13
420,3
420,4
421,0
421,16
421,4
422,0
422,11
422,4
423,1
423,13
423,14
423,10
423,18
424,0
424,1
424,13
424,4
425,7
425,8
425,3
426,2
426,17
426,11
426,4
427,1
427,6
427,7
427,8
427,2
427,3
427,15
428,1
428,7
428,16
428,8
428,11
429,0
429,16
429,11
429,10
429,4
430,0
430,13
430,18
431,0
431,1
431,7
431,10
432,1
432,6
432,7
432,8
433,1
433,6
433,8
433,12
434,7
434,8
434,10
435,0
435,1
435,8
435,3
435,4
436,13
436,11
436,3
436,4
437,13
437,10
438,6
438,7
438,8
438,2
439,7
439,8
439,2
440,6
440,8
440,2
440,20
441,0
441,1
441,3
442,0
442,1
442,8
442,2
442,4
443,0
443,16
443,4
444,0
444,1
444,12
445,13
445,2
445,10
446,7
446,2
447,0
447,1
447,7
447,2
447,4
448,0
448,7
448,3
449,13
449,17
449,11
449,3
450,0
450,1
450,13
450,4
451,0
451,3
451,4
452,13
452,14
452,4
453,0
453,1
453,13
453,4
454,1
454,6
454,8
455,0
455,1
455,3
456,1
456,6
456,7
456,8
456,2
456,3
457,13
457,9
457,10
458,0
458,1
458,3
459,0
459,1
459,13
459,3
460,1
460,7
460,13
460,8
460,2
461,0
461,1
461,2
462,0
462,3
462,4
463,1
463,6
463,8
463,2
464,5
464,13
465,0
465,1
465,17
465,3
465,4
466,0
466,1
466,13
466,14
466,10
467,6
467,8
468,19
468,13
469,1
469,6
469,13
469,8
469,9
470,0
470,1
470,7
470,8
470,2
470,3
471,6
471,7
471,8
471,2
471,3
472,16
472,13
472,4
473,0
473,1
473,12
474,7
475,0
475,16
475,4
476,1
476,6
476,13
476,8
476,2
477,3
477,4
478,1
478,6
478,7
478,8
478,2
479,6
479,7
479,8
480,0
480,1
480,2
480,3
481,6
481,7
481,8
481,3
482,0
482,1
482,3
483,0
483,1
483,3
484,1
484,6
484,7
484,8
485,13
485,3
485,4
486,0
486,1
486,3
487,0
487,16
487,2
487,4
488,0
488,1
488,4
489,0
489,1
489,6
489,7
489,8
489,2
490,7
490,10
491,7
491,13
491,8
491,20
491,9
491,10
492,17
492,11
492,4
493,0
493,1
493,7
493,8
493,3
494,16
494,11
494,4
495,7
496,7
496,13
497,13
497,2
497,17
497,4
498,7
498,8
499,0
499,1
499,13
499,4
500,19
500,7
500,13
500,14
501,1
501,6
501,7
501,8
502,13
502,20
502,9
503,16
503,13
503,11
504,7
504,16
504,20
505,13
505,14
505,4
506,0
506,13
506,4
506,18
507,0
507,7
507,10
507,4
508,0
508,1
508,7
509,7
509,13
509,10
510,6
510,7
510,8
510,2
510,11
